context,response
This cheesecake is addressed to Mrs. Braverman downstairs.,I-no! I didn't read the box before I opened it. And you can't return a box after you've opened it.
"I like her so much, and she's so sweet, I just wanna feed her grapes and brush her hair","You are aware that she's not a monkey, right"
I'd like to think you'd set me up with someone like him.,"Well, I think Brian's a little out of your league."
"What? Oh this is excellent. You know he coulda gotten me a VCR, he coulda gotten me a set of golf clubs, but no, he has to get me the woman repeller, the eyesore from the Liberace house of crap.","I pity the fool who puts on my jewelry, I do, I do. I pity the fool that. . . Hi. Hey man, we were just doin' some uhh, impressions over here. Do your Marcel Marceau. That's actually good."
"Yeah, we were gonna give fifty, but if you guys gave more, we don't wanna look bad.",And twenty-five it is.
"Although, you did tell an awful lot of jokes.",I thought you said those jokes were funny. Joke! Joke! Joke!
I just got engaged to my soulmate.,"Wow, that's great. I'm sure the 37 other guys she dated before you were just, uh, 'soulmate warm-ups'."
I just got engaged to my girlfriend.,"Oh, wonderful! Now you can spend the rest of your life wondering where the remote control is."
Wow! Really?! We get all this rusty crap for free?!,"Uh-huh. This and a bunch of bubble wrap. And, some of it is not even popped!"
"I'm off to Tulsa, so if your Maitre D. friend has any funny Oklahoma jokes, tell him to e-mail me",www.hahanotsomuch.com
Why would he break up with me?,Well...
Could you take a picture of us?,Uhh... Yeah sure. Click!
"You just go to the house and you ask for Mary-Angela, okay, when which ever one she is comes to the door, you take her for a walk, you let her down easy.",What if Mary-Angela comes to the door and I ask for Mary-Angela?
"Guys, rules are good! Rules help control the fun! Ohhh!",Could it BE any more…clear?
How does it feel knowing you're never gonna be with another woman again huh? Knowing you're gonna have to wake up to the same face everyday until you finally have the sweet release of death.,"You're right, this is more fun."
I just got engaged to my soulmate.,"Wow, that's great. I'm sure the 37 times you've used that word on Tinder were just a warm-up."
You got a present for my parents. That's so sweet.,"Yeah, sure. What do you need? We got lace, satin, sateen, raffia, gingham, felt, and I think my testacles may be in here too."
"C'mon, he's right. Tit for tat.",Well I'm not showing you my 'tat.'
I just got engaged to my soulmate.,"Wow, a soulmate. How convenient. Now you'll have someone to share your therapy bills with."
You're a really good kisser.,"Well, I have kissed over four women."
They feel a little unwanted.,"Oh that's too bad. It's true, but too bad."
What do you think.,"Yeah, what was wrong with your old...human teeth."
"I gotta say after last night, I'm a little weak in the knees.",You walk into a room...take a quick scan!
You know how you always think you're great in bed?,The fact that you'd even ask that question shows how little you know me.
These-these look nice.,You mean like for award shows?
"OK... ah, it's light... ...it rattles... it's...","Travel Scrabble! Oooohhh, thank you!"
"Hey, Chandler, can I borrow your G-string?",How long you been waitin' to say that?
"You're going out with a student, that's not really appropriate is it?","Wait a minute, hold the phone! You're not Elizabeth's dad?!"
Joey was walking all hunched over and bobbing his shoulders as he goes.,Is that your new walk?
"If you want your neighbors to like you, why don't you just pay the hundred bucks?",Sounds like a fun party.
What happened to your teeth.,Really.
"Okay. He's cute, he's funny, he's-",He's a he?
I'm so excited for my blind date tonight.,"Yeah, because nothing says 'true love' like a stranger who's only seen yourfiltered selfies."
"Okay, just so you know, I'm gonna be ovulating from tomorrow until the sixth, so don't touch yourself in the next 48 hours.",I don't do that.
What's that?,"Oh, I see. I thought you just really, really liked your new couch."
"Oh, he brought her back to his apartment.",He's taking off her coat!
"She'd-she'd love this. Uh, it's an exact replica of Apollo 8. I made it in the sixth grade.","Yeah, I guess I could use that. I could say that your love sends me to the moon."
It was the guy?,It was the ring!
Why haven't you told them that we live together?,Why haven't you told them?! Wouldn't they be happy?!
You're gonna have to introduce me to people in a different way after you get married.,"Couldn't I just say, 'This is Ross?'"
I've decided to become a professional clown.,"Oh, finally, a career that combines your love of poverty and humiliation."
"Monica Geller: Chandler, here you go, got your traditional Thanksgiving feast, you got your tomato soup, your grilled cheese fixin's, and your family size bag of Funyuns.","All right, I'm nine years old."
"Yeah, but uh, it was 1982 and my flock of seagulls haircut was tickling her chin.",She laughed at you?
Hey! Everybody at work loved you last night!,"And! They like me more just because I was with ya! I think you repaired a lot of the damage from when they met Joey. And Doug wants us to play tennis with them. He's never even talked to me outside of work. Except for that time when we bumped into each other at that strip club. Strip church. Anyway, I'm gonna go try and find a racquet."
I just got engaged to my girlfriend.,"Wow, that's great. I'm sure the 47 times you've practiced saying 'I do' in the mirror really paid off."
"You're gonna die this week, how are you gonna go?",Just out of curiosity did she tell you how you're gonna go?
Hey. Y'know with that goatee you kinda look like Satan.,"Oh, so that's why the priest threw holy water on me."
What?!,"What?! I-I-I don't, I don't do that!"
What are you doing?,I'm leaning. This is where I lean.
Nora is a dear old friend and a fantastic lover,Bravo Dennis thanks for pleasing my mother so
"Okay, I've got some Ones, you wanna put them in her panties?","No thanks, Mom!"
I've decided to start writing a novel.,"Oh, great, because the world was just missing a 500-page memoir about your feelings on socks."
Why didn't you tell me about Rachel and Ross?,I didn't think you could keep it a secret.
You're so full of yourself.,"One hundred percent natural! I tell ya, that has never happened before."
What about with Mike's mom?,Just constantly tell her how amazing her son is.
You're not getting away this time mister! Unless you want that ass kicking we talked about!,That's right! I'm not!
I just got engaged to my soulmate.,"Wow, congratulations! Could I BE any happier for you and your impending doom?"
Oh no! My parents have never seen me drunk! That they know of.,"Okay, here's the thing. We're gonna get you some coffee and they will never know that you're drunk."
"Look Chandler I don't care if you can't cry, I love you.",Oh that makes me feel so warm in my hollow tin chest.
Why would they do that?,It was a good show right?!
What could I have possibly done?!,So it's really a question of who could you have possibly done.
Remember when we were back in college and you walked right up to that girl you liked and you could not stop talking about the Irish potato famine?,"Yeah, well what about you? You weren't you know, so hot in college either. After everything he said, he'd go 'ba dum bum chessh'"
We have to leave for New York in an hour.,"We can't do that that's insane. I mean 'A' he could wake up and 'B' y'know, let's go for it."
"You're really charming, can you use that to your advantage?","So do you think uh, Joey's more charming than me?"
We're gonna have sex whether you're here or not.,Pants off Bing!
Yes! He has a naked picture of Monica! He takes naked pictures of us! And then he eats chicken and looks at them!,"All right, look! Look. I think I can explain this."
"Yeah, well you promised Barry, you'd marry him.","Well, I think you should seriously consider the marriage thing, give Rachel another chance to dress up like Princess Bubble Yum."
I'm going to start a journal to express my feelings.,"Oh, great, because the world was just missing your innermost thoughts, and by 'world,' I mean the therapist you'll inevitably need."
What happened in Atlantic City?,"In my defense, it was dark and he was a very pretty guy."
Playstation is whack!,"Yes, on a scale from 1 to 10, 10 being the dumbest a person can look, you are definitely 19."
"Rachel is going out with Elizabeth's father, so ah, he's much older than she is.","Looks like I'm not the only one interested in fossils, huh?"
"Hey, how'd it go? How'd she like the gift?","Oh, man, she loved it! She's over there showing Monica and Rachel right now."
I just got engaged to the love of my life.,"Wow, that's great. I'm sure the 37 times you've said that before were just practice."
Half the taste is in the smell! You-you're sucking up all the tastiness!,"Okay, I'll give them back. Look! What is so great about that sandwich?"
"The flirting! Aren't you supposed to be going out with, I don't know hmm, let's say my sister?!",I was not flirting.
I just got engaged to my perfect match.,"Wow, that's amazing. I'm sure the 37 online quizzes you took had nothing to do with it."
Phoebe knows what time Monica and Chandler said they would meet,What time?
"Oh, how'd that happen?",Because I'm cooler.
"I mean, how much can she even be aware of at this age?","Well, she's aware when we leave the room. She may notice if we start... canoodling in it."
What's it sound like? It's a guy with my identical hands!,Are you sure you weren't looking at your hands in a mirror?
You had a minor setback in your relationship with Chandler. Big deal!,It's only Chandler.
I just got engaged to my soulmate.,"Oh, wow. Could I BE any happier for you? Said no one, ever."
"I had to get out of the apartment. Janine is like stretching all over the place. Y'know, everywhere I look she's like...",I can see why that's hard to resist.
You should do something about it right?,"All right then, it's settled."
Nooo!!!,Yes!
I've decided to start writing a novel.,"Oh, great, because the world was just missing a 500-page memoir about your feelings on socks."
Another cheesecake came! They delivered it to the wrong address again!,I've forgotten what it tastes like okay?!
Can't we just use a pen?,"No, Amish boy."
I just got engaged to my soulmate.,"Wow, that's great. I'm sure the 37 other women you've called your soulmate will be thrilled to hear that."
"Honestly ever since we got engaged I have been waiting for something to, to flip you out.",Honestly? Me too.
You don't think it's a little crazy that you get all my points just 'cause you picked a card?,I don't think the contestants are supposed to speak to each other.
"Hey, how do you spell suspicious?",Why?
I'm considering a career change to professional snail trainer.,"Oh, finally, a job that combines your passion for sluggish pace and crushing disappointment."
Your finger was covering the lens.,Who are you? Ansel Adams?! Get outta here!
So she's really not dead.,"Hmm. Do you think-Could you tell me if she's hanging in, in a one bedroom or a two?"
I don't like any thing from my Scottish heritage.,"Well it's just my entire family was run out of Scotland by...Vikings. Anyway, lots of bad memories."
I just got engaged to my girlfriend.,"Wow, congratulations! Could I BE any more thrilled for you?"
Ross Geller: Well maybe it's cold in there. Or maybe I screwed up the first date I had in 9 years.,That could be it.
"Joey: C'mon, you guys. This is a real movie, and Al Pacino's in it, and that's big!","Oh no, it's terrific, it's... it's... y'know, you deserve this, after all your years of struggling, you've finally been able to crack your way into showbusiness."
What happened in Atlantic City?,"Did you not hear me say, 'Du-ude?'"
I just got engaged to my soulmate.,"Wow, a soulmate. How convenient. Now you'll never have to use Tinder again."
We have a baby?,Phoebe found your pregnancy test in the trash.
I just got engaged to the love of my life.,"Wow, congratulations! I'm sure the 12 minutes you've known them is a solid foundation for a lifelong commitment."
These boots were a huge mistake! They're killing me! One toe at a time!,So I was right. This is what it feels like to be right. It's oddly unsettling.
Why are you reading this? You hate this kind of stuff.,"Yeah I know, but I figured a shot y'know? Maybe one of those stories would make me cry and then you wouldn't think I was y'know, all dead inside."
"Hey, how'd the date go with Mr. Millionaire?","Mr. Millionaire, new from Snooty Playthings! Third wife sold separately."
I'm so excited for my birthday party tonight.,"Oh, joy, a night of forced celebrations and pretending to like your friends' gifts. Could it BE any more thrilling?"
That better?,Yes... thank you. That was... that was.... Perfection?
So I'm thinking about asking Rachel out tonight. Y'know maybe play her that song we wrote last week.,Emotional Knapsack?
"Honey, I know you're in pain right now, but I'm a little turned on.",So I was right. This is what it feels like to be right. It's oddly unsettling.
As long as he's not wearing a white dress and a veil I don't care.,Nobody is gonna be staring at the bride when the father of the groom is wearing a back-less dress.
"Hey, how come we never have jam at our place?",Because the kids need new shoes.
"Joey Tribbiani: Plus, y'know, I think it should be Joe. Y'know, Joey makes me sound like I'm, I dunno, this big. Which I'm not.",Joe...Joe...Joe...Stalin?
Do you realize that four weeks from today we're getting married? Four weeks baby!! Four weeks!!!,Do you realize you get louder each week?
"Do you really think I'd hide presents under the couch? P.S. Chandler, I knew they'd break you.","Y'know when you guys said you were gonna go across the hall and look, you don't, you don't do that every year do you?"
"Well, Kathy gets half-naked and simulates sex with a real good lookin' guy.","Yeah, it's like someone literally wrote down my worst nightmare and then charged me $32 to see it!"
I've decided to become a professional clown.,"Oh, great, because the world was just missing a 30-year-old man in face paint, making poor life choices."
"What, so this guy is helping you for no apparent reason?",Uh-huh!
I guess having sex in front of a baby isn't so...,Horrifying? Scarring? Something people go to jail for?
"They print jokes, interviews, hard-hitting journalism. It's not just about the pictures.","That didn't work on mom, it's not going to work on us."
"I'm telling you, this guy Rachel is with is crazy! Okay? He viscously screamed at total strangers! I think he's baaad news!","Wait a minute, wait a minute, you don't like the guy Rachel's dating? Well, that's odd."
They think they are so slick messing with us!,"Ahh yes, the messers become the messies!"
I found my identical hand twin!,What's an identical hand twin?
"I'd like to toast, Ross and Emily. Of course, my big toast will be tomorrow at the wedding, so this is kind of my little toast or Melba toast, if you will. Okay. I known Ross for a long time. In fact, I knew him when he was going out with his first girlfriend. And I thought things were going to work out for him.. Until the day he over inflated her.","Ohh, Dear God.."
I just got engaged to my soulmate.,"Oh, wonderful. Because nothing says 'true love' like a lifelong commitment to someone who still thinks you're interesting."
I've decided to start writing a novel.,"Oh, great, because the world was just missing a 500-page manuscript about your feelings."
"Ross, how could you let this happen?
Ross: I don't know, God, I... well, it's not like she's a regular mom, y'know? She's, she's sexy, she's...
Joey: You don't think my mom's sexy?",Well... not in the same way...
"Anyway, Ross and I were always captains, and um, it got kind've competitive and one year, Geller Bowl VI, I accidentally broke Ross's nose.","No, no, no, you say that proudly."
Phoebe wants to switch with you because Monica is driving her crazy.,No! No! No! I was so careful!
I just got engaged to my soulmate.,"Oh, wow. Could I BE any happier for you? Said no one, ever."
What if I had taken that job at Merrill Lynch?,"Because at that time you see, I thought everything that rhymed was true. So I thought y'know that if I'd work with stocks, I'd have to live in a box, and only eat lox, and have a pet fox."
You have a blue tie that would go with this? Emma spit up on mine.,"Oh, yeah. But you have to give it back if I get a job. Of course, by that time in the future ties will be obsolete and we'll all be wearing silver jump suits."
"Since we've been going out, I think I've mentioned his name twice!","Okay, so Richard, Richard!"
Could you please not put your feet up on my new......old sheet?,Oh sure! Noo!
You think this is clever?,"Well y'know, they only give you three letters, so after A-S-S it is a bit of a challenge."
Do you guys know any cute guys?,"Well, of course I do! My good friend Joey over here."
I just got engaged to the love of my life.,"Wow, congratulations! I'm sure the 12 minutes you've known them is a solid foundation for a lifetime of happiness."
Mona just dumped me.,Poor Ross.
She doesn't want her parents to know she's drunk.,"Ohh! All right! All right. Here's what we'll do, I'll get twice as drunk as Monica and then no one's will even notice her."
Then be supportive like a guy.,"If I broke up with you, I'd miss you."
I just got engaged to my soulmate.,"Wow, congratulations! I'm sure the 37 seconds you've known them is a solid foundation for a lifetime of bliss."
I've decided to become a professional clown.,"Oh, finally, a career that combines your love of oversized pants and crippling emotional trauma."
I've decided to start writing a novel.,"Oh, great, because the world was just missing a 500-page memoir about your feelings on socks."
"You guys haven't gotten your presents yet? Tomorrow's Christmas Eve, what're ya gonna do?",Don't you have to be Claymation to say stuff like that?
Susie Moss: It's nice to see you're not still wearing that denim cap with all the little mirrors on it.,"Oh, right, well yeah, I graduated fourth grade and realized I wasn't a pimp."
All you had to do was buy the card!,No-no-no-no! That was the joke!
You're going to raise Emma if something happens to Ross and Rachel?,I'm super-compentent and totally responsibile and fourth in line to raise Emma.
"Phebes, it was your birthday, like, months ago.","Well, I have a call in about that."
"Y'know I used to go out with this guy that was a really light sleeper, and whenever I started to snore, he would just roll me over...","Next time you snore, I'm rolling ya over!"
"Well, that's the best kiss I've had with anyone I've ever met in a men's room.","Actually, me too."
"Okay, he's a senior in college.",Whoa! And this manchild has no problem with how old you are?
I will prove it to you! Okay? About a week ago I was wearing those jeans and I dropped a pen in my lap and it left an ink stain on the crotch.,"Honey, isn't it possible that the company that sold the jeans made more than just the one pair?"
I just got engaged to my girlfriend.,"Wow, congratulations! Could I BE any more thrilled for you... and your impending doom?"
I just got engaged to my girlfriend.,"Wow, congratulations! Could I BE any more thrilled for you... said no one who's been to your relationship's Facebook page."
What's dance karate?,It's a deadly but beautiful sport.
You got me the audition?!,Ni-hi-ice!
I've decided to start writing a novel.,"Oh, great, because the world was just missing a 500-page memoir about your feelings on socks."
We have to do something about your breath.,What about your breath?!
I just got engaged to my soulmate.,"Wow, congratulations! Could I BE any happier for you and your impending doom?"
I'm so excited for my blind date tonight.,"Oh, joy, a stranger who's only seen your Craigslist ad. Could this be the foundation of a healthy relationship?"
I just got engaged to my perfect match.,"Wow, that's amazing. I'm sure the 37 online quizzes you took had nothing to do with it."
"You guys haven't gotten your presents yet? Tomorrow's Christmas Eve, what're ya gonna do?",Don't you have to be Claymation to say stuff like that?
You're gonna tell this guy today and he has no idea what's gonna happen,"He's just walking down the street thinking, 'I had sex with Rachel Green. I rock!' then bam! He's a father and everything's different."
You think I trust you with it?! No! We're gonna split it! You take half and I take half!,"Well that's not fair, you've already had some!"
"Oh, you want something serious. Y'know what you should do, you should get her one of those um, barium enemas.",Those are dead serious.
What's wrong with your dad?,"Believe me, I've been saying that for years"
"You should check this out, tell the other tenants. Apparently he's running around looking for some kind of a hot girl.",Who isn't?
"If you wanna give Joey a Christmas present that disrupts the entire building, why not get him something a little bit more subtle?","like a wrecking ball, or a vile of small pox to release in the hallway?"
What did I say?,"It's not what you said. It's the way you said it....Oh My God, I'm a woman!!!"
I just got engaged to my soulmate.,"Wow, congratulations! Could I BE any happier for you and your impending doom?"
"Monica, I've got exactly twenty-eight minutes before I have to baste again.",Wow! Just like in the pros.
"I'm sorry, would you move your thumb? I can't see the seat number.","Oh that's all right, I have it memorized. It's 1A."
"Oh yes, sir! Put me out of my misery.",Are you sure you never played pro? Please let them win!
We never get smacked.,"Well, that's not true, he-he smacked you once."
I just got engaged to the love of my life.,"Wow, that's great. I'm sure the 37 other women you've called that this year are thrilled."
"Woman pizza delivery guy come over, gives me the pizza, takes the money, and leaves!","What, no, ""Nice apartment, I bet the bedrooms are huge?"""
"Hey Pheebs, I'm so sorry.","Hey, y'know what? My Grandma had the exact same bag!"
How could you not remember that we slept together?,"Come on, come on, search your brain all right. it was a certain amount of time ago, I was here you were here, we had sex here, here, here NOT there. Anything?"
I'm going to get a joke journal. Y'know? And document the date and time of every single one of my jokes.,"I Think It's Great That You Work Here. You'Re Going To Make A Lot Of Money, And Here's Your First Tip. Don't eat yellow snow. . Ah ha ha, 2:15, coffeehouse."
Our friendship is effectively ruined.,"Eh, we weren't that close anyway!"
Canoodling?,"Well, I can't say 'hump' or 'screw' in front of the B-A-B-Y."
You've been acting strange all day!,Whoa-whoa-whoa-what-what if Martin Luther King had said that? I kinda have a dream! I don't want to talk about it.
"Would-would you mind just not going out with him again? Okay, just the idea of you and he and all these women, it's just-","Hey! No-no-no-no, you can't take him away from me! I got a great partner to pick up girls with! Finally!!"
"I had my uh, older brother chat with Chandler.",Mr. and Mrs. Bing!
Are you not seeing him anymore?,And this has nothing to do with the fact that he needs a note to get out of gym.
Which we're still keeping under our hats!,Uh then there was that dialect coach who helped you with that play where you needed a southern accent. Which after twenty hours of lessons still came out Jamaican.
Nobody likes two different kinds of eggs equally. You like one better than the other and I wanna know which.,"Well what's the difference? Your eggs aren't here anymore, are they? You took your eggs and you left. You really expect me to never find new eggs?"
I'm considering a career change to professional snail trainer.,"Oh, finally, a job that combines your love of slow movements and crushing disappointment."
Do you think anyone will notice my face?,"Hello! There are tons of other freaks here! No other. No. Come on! No one will notice, I swear!"
I've decided to start writing a novel.,"Oh, great, because the world was just missing a 500-page memoir about your feelings on socks."
"Come on man there's gotta be something that gets you choked up! Like uh, uh oh, what if you saw a three-legged puppy?","I'd be sad sure, but I wouldn't cry."
"Well, a palm reader, a manicurist, a hand doctor...",Glove salesman!
"He got all weird and sputtery and then he said uh, 'Yeah, I hear those hemorrhoids are a bitch.'",He sounds swell.
"If-if I want something done right, I have to do it myself. Other people just wreck stuff.","Oh come on, come on, it can't be that bad."
Are you okay?,"Yes! I'm fine. In fact I've been fine for a long time now and I think, the reason is you."
"Monica's all upset, because I sent Clunkers away.","So? Bring the dog back, you're a hero."
"Susie Moss: Remember the class play? You, you pulled up my skirt and the entire auditorium saw my underpants.","Yes, back then I, uh, used humor as a defense mechanism. Thank God I don't do that anymore."
My best friend and my sister! I cannot believe this.,"You guys probably wanna get some hugs in too, huh? Big news!"
I've decided to start a garden in my backyard.,"Oh, great, because what every relationship needs is a symbolic representation of how you'll eventually neglect and kill everything."
"I went to Ross's, I went to the coffeehouse, I went to any place that they made sandwiches!",Is that supposed to be funny! I was really worried over here!
I just got engaged to my soulmate.,"Wow, a soulmate. How convenient. Now you can spend the rest of your life with someone who's contractually obligated to love you."
You are the king of bad Thanksgivings.,"Really? Worse than, ""More turkey Mr. Chandler?"""
"You're allowed one mistake. Just kidding, you are of course fired.",Ohh that's so sweet!
I just got engaged to my girlfriend.,"Wow, congratulations! Could I BE any more thrilled for you?"
I've decided to start writing a novel.,"Oh, great, because the world was just missing a 500-page memoir about your feelings on socks."
Yeah?,"You know, on second thought, gum would be perfection. 'Gum would be perfection'? 'Gum would be perfection.' Could have said 'gum would be nice,' or 'I'll have a stick,' but no, no, no, no. For me, gum is perfection. I loathe myself."
You remember how I call you bunny?,Not really.
They all say they're gonna be there until they start their real family.,Well I-That's never gonna happen with Ross.
My wife's a lesbian.,Cool!!
"If you have a crush on this guy, why would you hire him?",I mean y'know you can't date him right?
"I want you to like her! But if that's too damned difficult for you, then the least you can do is pretend.","Okay, what do you saw I go over there and say how much I like her? No-no it'll be good, I can tell her much I've been thinking about her. That I haven't stopped thinking about her since the moment I met her. That I'm so fantastically, over-the-top, wanna-slit-my-own-throat in love with her, that for every minute of every hour of every day I can't believe my own damn bad luck that you met her first!!"
All she has to do is to dial 55-JIMBO.,"A cool phone number, and a possible name for the kid."
"Joey Tribbiani: That's right I stepped up! She's my friend and she needed help! And if I had too, I'd pee on anyone of you! Only, uhh, I couldn't. I got the stage fright. I wanted to help, but there was too much pressure. So-so I uh, I turned to Chandler.","Joey kept screaming at me, ""Do it now! Do it!! Do it! Do it now!!"" Sometimes late at night I can still here the screaming."
"You agreed to buy that boat, all right?! That is a contract!","Well, what am I gonna do?! I don't have that kind of money!"
There is a little child inside this man!,"Yes, the doctors say if they remove it, he'll die."
He's a dropper!,I'm not a dropper!
I just got engaged to my soulmate.,"Wow, a soulmate. How convenient. Now you'll never have to use Tinder again."
"So? Bring the dog back, you're a hero.","Yeah, I can be a hero, I could do that. I could, I could do... I, w-w-what if, what if it attacks me?"
"Alright, here's my $7.50. But I think you should know that this money is cursed.
Joey Tribbiani: What?
Phoebe Buffay: Oh, I cursed it. So now bad things will happen to he who spends it.","That's alright, I'll take it. Bad things happen to me anyway. This way I can break 'em up with a movie."
You cry every time somebody talks about Titanic!,Those two only had each other!
Could you lower your script? I need to see your face so I can play off your reaction.,"Okay uh, look I know you're a great actor, okay? And you play all those Shakespeare guys and stuff..."
I just got engaged to my soulmate.,"Wow, that's amazing. I'm sure the 37 other girls you've called your soulmate will be thrilled to hear that."
Why are your eyes so white?,"You tell me! Maybe, it's because I was just fooling with my ex! Oh no-no-no-no, no-no-no-no, that was you!!"
I'm so excited for my blind date tonight.,"Oh, great, because nothing says 'true love' like a stranger who's only agreed to meet you because their friends hate them."
Do you still work here?,"No! No, I quit a long time ago. Did I forget to tell you that one? I'm sorry."
"It was cheesecake. It was fine. It had a buttery, crumbly, graham cracker crust, with a very rich yet light, cream cheese filling...",Y'know what? Forget it! We are just hungry! We have not had lunch! We are just light-headed!
That is one good looking man!,"Is it just me, or can you actually see his abs through his overcoat?!"
Rachel Green: Would anybody like more coffee?,"Did you make it, or are you just serving it?"
I've decided to start writing a novel.,"Oh, great, because the world was just missing a 500-page memoir about your feelings on socks."
"Tulsa, Oklahoma!","The Sooner State, whatever that is."
"You know, I hate to lecture you guys, but it's kinda disgraceful, that a group of well-educated adults and Joey can't name all the states","Uh, Magellan? You got 46 states"
I've decided to become a professional clown.,"Oh, finally, a career that combines your love of humiliation and poor career choices."
"Well, it's like, last night, I couldn't do the thing that usually makes me great. So I had to do all this other stuff. And the response I got... man, oh man, it was like a ticker tape parade!","Yes, I know, as it happens my room is very very close to the parade route."
Just remember Thursday. Thursday. Can you remember Thursday?,"Yeah so, Tuesday?"
"For your information, this happens to be a pain like no man will ever experience.","Yeah, well I don't think you can make that statement, unless you've been kicked in an area that God only meant to be treated nicely."
Joey Tribbiani: London baby!,"Okay, 'cause that's not gonna get annoying."
Is it because Joey and I didn't invite him to that Knicks game a couple of weeks ago?,Do you think that's something that he'd be mad at you for?
I'm always on the swings! What am I doing wrong?,That.
"Hey, it's not like it sounds.",It's exactly like it sounds.
That is really nice...lying! No way is that the reason!,"No, he's right, I'm totally lying."
We are gathered here today on this joyous occasion to celebrate the special love that these two givers and receivers share.,Should we call the spitter?
I thought you wanted to have sex with me?,No! No! No! No-no-no-no.
I made up a joke and sent it in to Playboy. They printed it!,That is funny. It was also funny when I made it up.
You don't even live here anymore! What are you doing answering my phone?,Which I bought for ya. Taught ya how to use it. You thought it was a copier.
I just got engaged to my soulmate.,"Oh, wow, that's great. I'm sure the 37 previous soulmates were just, uh, practice."
"Okay, one...two...",So we are going on two?
What do you know about vulcanised rubber?,Spock's birth control.
"Anyway, I figured after work I'd go pick up a bottle of wine, go over there and, uh, try to woo her.","Hey, y'know what you should do? You should take her back to the 1890's, when that phrase was last used."
Everybody's doing stuff!,"And we just sit here. I mean if I die the only way people would even know I was here, would be by the ass print on this chair! Look, we have to do something. Okay? Something huge!"
Your tax dollars paid for this car.,Your tax dollars?
Why is that so funny?,You made a joke right? So I laughed.
What would you be doing if you were home right now?,"Typical Christmas-y stuff, you know? Our holidays are pretty traditional..."
I just got engaged to my soulmate.,"Wow, that's amazing. I'm sure the 37 other girls you've called your soulmate will be thrilled to hear that."
What should I send him?,A cartoon of cigarettes. 'Cause that why he could trade it for protection. No. That's prison.
I just got engaged to my soulmate.,"Wow, that's great. I'm sure the 37 minutes you've known them is a solid foundation for a lifetime of love and not at all a cry for help."
"...and these come in the shapes of your favourite Christmas characters, Santa, Rudolph, and Baby Jesus.","Ahh, do you have any coconut flavoured deities?"
"If he's angry, he really shouldn't just cover it up. I-I wish he would just tell me the truth.","Oh, if that's what you want you then you really should run his head under hot water and bang his head against a table."
"Well I was thinking it would be um, kind of sexy if you wore mine tonight, at dinner.","Well, if I was wearing your underwear then, uh, what would you be wearing?. . . You're swell."
I just got engaged to my soulmate.,"Wow, that's great. I'm sure the 37 therapists and 14 divorces were just a warm-up."
"Emily spins the bottle and once again, it lands on Joey.",What are the odds? What are the odds?
Are you hugging the door right now.,"Yeah-yeah, me neither."
I just got engaged to the love of my life.,"Wow, that's great. I'm sure the 'love of your life' title will totally still apply after 5 years of marriage, 2 kids, and a mortgage."
"No, I've looked everywhere!","Well, you couldn't have looked everywhere or else you would've found her!"
I've decided to start writing a novel.,"Oh, great, because the world is just missing a 500-page manuscript about your feelings."
You got a man who's a nanny...?,"You got a manny...? You know, I don't mind a... male nanny, but I do draw the line at a male wetnurse."
I just got engaged to my girlfriend.,"Oh, wow! Could I BE any happier for you? Said no one, ever."
"Rachel, could I see you for a moment?","Okay, here's the situation. The keys to the cuffs are on the back of the door. Could you be a doll and grab them and scoot on over and unlock me? And on a totally different subject, that is a lovely pantsuit."
I'm feeling really confident about this date tonight.,"Yeah, because nothing says 'confidence' like spending two hours picking out a shirt that says 'I'm a functioning adult, but barely.'"
What about the guy from the bar?,The guy you gave your number to.
What are you doing?,"Oh, I'm going on the lamb."
What the hell was that?!,What?
I just got engaged to my soulmate.,"Wow, that's great. Could I BE any more thrilled for you?"
Is he funnier than me?,"I do limericks... uhm... There once was a man named Chandler, whose wife made him die inside."
I've decided to start writing a novel.,"Oh, great, because the world is just missing a 500-page memoir about your feelings on socks."
"Jill Goodacre: I'm fine. No, I'm not alone... I don't know, some guy.","Oh! Some guy. Some guy. 'Hey Jill, I saw you with some guy last night. Yes, he was some guy."
You're going out with a much older man.,I mean Ross all that does is remind us that you are interested in fossils.
You had a bachelorette party?,Her what?!!
Why won't you take our picture?,"Oh yeah. I'll take, I'll take your picture."
I'm really excited for my blind date tonight.,"Oh, blind date, huh? Because what could possibly go wrong with willingly dining with a stranger who's only redeeming quality is that they haven't seen you yet."
"So, I just finished this fascinating book. By the year 2030, there'll be computers that can carry out the same amount of functions as an actual human brain.",And I just realized I can sleep with my eyes open.
You got a man who's a nanny...?,You got a manny...?
We're trying to find someone to perform our wedding and they're all either boring or annoying or can't stop staring at the ladies.,"Yeah, I'd do her too!"
How? How is your fault?,"Because, I-I should've called! Y'know if I had just called her after our big, stupid fight, she never would've gone out with Nick, and they would've ended up in bed together. I threw her at his man nipples!"
I've decided to start writing a novel.,"Oh, great, because the world was just missing a 500-page manuscript about your feelings."
I just got engaged to my girlfriend.,"Wow, congratulations! Could I BE any more thrilled for you... said no one, ever."
Ross Geller: I honestly don't know if I'm hungry or horny.,Stay out of my freezer!
"Okay, imagine the best sex you've ever had.",Okay.
"Chandler, we gotta go, got a reservation in 30 minutes.","Oh no no no no, no no no no no no, you see, what I had planned shouldn't take more that 2, 3 minutes tops."
Chandler sees Monica in the wedding dress and makes a joke about it.,Wow! You-you look...hideous.
